Time,stratify_key,protocol_cat_encoded
0.0,4_2,1
0.0,4_2,1
3.843205,4_3,4
3.849903,4_3,4
3.88995,4_3,4
4.358445,5_4,3
4.358569,5_4,3
4.386365,6_4,3
4.386365,6_4,3
4.386365,6_4,3
4.387509,5_4,3
4.403724,6_4,3
4.403724,6_4,3
4.403724,6_4,3
4.403959,6_4,3
4.404184,5_4,3
4.404333,5_4,3
4.432153,6_4,3
8.850357,4_3,4
8.859504,4_3,4
8.899073,4_3,4
9.834872,5_4,4
9.834926,5_4,4
11.581906,4_2,1
11.582251,4_2,1
11.675525,4_2,1
11.675525,4_2,1
11.675525,4_2,1
11.675525,4_2,1
11.675525,4_2,1
11.675525,4_2,1
11.878518,4_2,1
12.803492,6_4,4
12.804066,5_4,4
12.854741,6_4,4
13.861337,4_3,4
13.879633,4_3,4
13.920732,4_3,4
14.411719,5_4,4
14.431644,2_4,4
14.998206,5_4,4
14.998254,5_4,4
15.157106,6_4,4
15.157106,6_4,4
16.405486,5_4,4
16.427258,2_4,4
17.820579,4_4,2
17.820628,5_1,2
18.880535,4_3,4
18.887507,4_3,4
18.927806,4_3,4
22.225461,4_4,4
22.280247,5_3,4
23.889001,4_3,4
23.895547,4_3,4
23.936294,4_3,4
24.579385,6_4,3
24.579385,6_4,3
24.579385,6_4,3
24.579792,5_4,3
24.57993,5_4,3
24.98922,6_4,3
24.989525,5_4,3
24.990622,4_4,2
25.0239,6_3,2
26.79521,4_4,4
26.842662,5_3,4
26.842751,4_4,4
26.843952,4_4,4
26.892522,5_3,4
26.892565,4_4,4
26.896548,4_4,4
26.940678,5_3,4
26.940678,5_3,4
26.940731,4_4,4
26.942401,5_3,4
26.942401,5_3,4
26.942401,5_3,4
26.942437,4_4,4
26.943261,4_4,4
26.943437,4_4,4
26.943481,4_4,4
26.986842,5_3,4
26.988419,5_3,4
26.988451,4_4,4
26.990413,5_3,4
26.990435,4_4,4
27.6483,5_2,2
28.467513,5_2,2
28.897121,4_3,4
28.903901,4_3,4
28.944754,4_3,4
33.904873,4_3,4
33.911718,4_3,4
33.952578,4_3,4
34.511172,6_4,3
34.586427,4_3,4
34.586728,4_3,4
34.587,4_3,4
34.589778,4_3,4
34.589778,4_3,4
34.589778,4_3,4
34.589917,4_3,4
34.58999,4_3,4
34.590023,4_3,4
34.590155,4_3,4
34.590228,4_3,1
34.590344,4_3,4
34.590404,4_3,1
34.590514,4_3,4
34.59058,4_3,1
34.594039,4_3,4
34.594039,4_3,4
34.594039,4_3,4
34.594039,4_3,4
34.594039,4_3,4
34.594039,4_3,4
34.594039,4_3,4
34.615504,4_3,4
34.615875,4_3,4
34.616201,4_3,4
34.617144,4_3,4
34.617144,4_3,4
34.617265,4_3,4
34.617339,4_3,4
34.617384,4_3,4
34.617456,4_3,1
34.6176,4_3,4
34.617667,4_3,1
34.618666,4_3,4
34.618753,4_3,4
34.618849,4_3,4
34.618921,4_3,1
34.620363,4_3,4
34.620363,4_3,4
34.620363,4_3,4
34.620363,4_3,4
34.620363,4_3,4
34.620363,4_3,4
34.620363,4_3,4
34.621085,4_3,4
34.629197,4_3,4
34.629488,4_3,4
34.629661,4_3,4
34.63073,4_3,4
34.63073,4_3,4
34.630834,4_3,4
34.63089,4_3,4
34.63095,4_3,4
34.631008,4_3,4
34.632937,4_3,4
34.633043,4_3,1
34.633214,4_3,4
34.633265,4_3,1
34.633403,4_3,4
34.633466,4_3,1
34.635398,4_3,1
34.635398,4_3,4
34.635639,4_3,4
34.63681,4_3,4
34.63681,4_3,4
34.63681,4_3,4
34.63681,4_3,4
34.63681,4_3,4
34.637088,4_3,4
34.63738,4_3,4
34.637613,4_3,4
34.63762,4_3,4
34.637659,4_3,4
34.638782,4_3,4
34.638782,4_3,4
34.638875,4_3,4
34.638928,4_3,4
34.639249,4_3,4
34.6393,4_3,1
34.639418,4_3,4
34.639472,4_3,1
34.641388,4_3,4
34.641388,4_3,1
34.641388,4_3,1
34.641388,4_3,4
34.641388,4_3,4
34.641388,4_3,4
34.641388,4_3,4
34.641596,4_3,4
34.641769,4_3,4
34.6419,4_3,4
34.641956,4_3,1
34.642251,4_3,4
34.64242,5_4,4
34.642557,5_4,4
34.64304,4_4,4
34.644759,4_3,4
34.644759,4_3,4
34.644759,4_3,4
34.644759,4_3,4
34.644879,4_3,4
34.644999,4_3,4
34.664524,6_3,4
34.664599,4_4,4
34.665377,4_4,4
34.671057,4_3,1
34.671057,4_3,1
34.671057,4_3,1
34.671427,4_3,4
34.671664,4_3,4
34.671996,4_3,4
34.672551,4_4,4
34.674306,4_3,4
34.674306,4_3,4
34.674306,4_3,4
34.67442,4_3,4
34.674586,4_3,4
34.674676,4_3,4
34.682369,4_3,1
34.682369,4_3,1
34.684139,6_3,4
34.684139,6_3,4
34.685136,4_3,4
34.685342,4_3,4
34.686895,4_3,4
34.686895,4_3,4
34.686957,4_3,4
34.687036,4_3,4
34.687088,4_4,4
34.688515,4_3,1
34.688772,4_3,4
34.689204,4_4,4
34.69037,4_3,4
34.690447,4_3,4
34.695223,4_3,1
34.695223,4_3,1
34.695223,4_3,1
34.695522,4_3,4
34.695764,4_3,4
34.695956,4_3,4
34.696366,4_4,4
34.697419,4_3,4
34.697474,4_3,4
34.697814,4_3,4
34.697814,4_3,4
34.697862,4_3,4
34.697916,4_3,4
34.706355,6_3,4
34.709469,6_3,4
34.709469,6_3,4
34.709469,6_3,4
34.709469,6_3,4
34.709469,6_3,4
34.709608,4_4,4
34.718356,1_3,4
34.718456,4_4,4
34.719546,4_4,4
34.725594,4_4,4
34.726245,4_4,4
34.726882,4_4,4
34.727032,4_4,4
34.730967,5_3,4
34.731176,4_4,4
34.732769,4_4,4
34.737763,1_3,4
34.737763,1_3,4
34.737763,1_3,4
34.741189,4_4,4
34.741551,4_4,4
34.741793,4_4,4
34.743595,5_3,4
34.743685,4_4,4
34.744713,4_4,4
34.745588,6_3,4
34.745588,6_3,4
34.745588,6_3,4
34.745658,4_4,4
34.74585,4_4,4
34.752803,6_3,4
34.752803,6_3,4
34.752803,6_3,4
34.758186,1_3,4
34.758186,1_3,4
34.758186,1_3,4
34.758269,4_4,4
34.758349,4_4,4
34.75849,4_4,4
34.764919,1_3,4
34.764919,1_3,4
34.765033,4_4,4
34.76691,6_3,4
34.774768,6_4,4
34.774768,6_4,4
34.774768,6_4,4
34.774768,6_4,4
34.77485,5_4,4
34.774936,5_4,4
34.786318,5_3,4
34.792846,4_4,4
34.797007,5_3,4
34.797007,5_3,4
34.797007,5_3,4
34.797007,5_3,4
34.797007,5_3,4
34.797007,5_3,4
34.797125,4_4,4
34.801565,4_4,4
34.801869,4_4,4
34.802323,4_4,4
34.803551,5_3,4
34.804844,4_4,4
34.807395,1_3,4
34.836353,4_3,4
34.836922,4_3,4
34.837352,4_3,4
34.83888,4_3,4
34.83888,4_3,4
34.83888,4_3,4
34.839029,4_3,4
34.839111,4_3,4
34.839146,4_3,4
34.840378,4_3,4
34.840461,4_3,1
34.840564,4_3,4
34.840611,4_3,1
34.840696,4_3,4
34.840754,4_3,1
34.843002,4_3,4
34.843002,4_3,4
34.843002,4_3,4
34.843002,4_3,4
34.843002,4_3,4
34.843002,4_3,4
34.847945,4_4,4
34.848935,5_3,4
34.848935,5_3,4
34.849061,4_4,4
34.849458,4_4,4
34.854709,5_3,4
34.854709,5_3,4
34.854709,5_3,4
34.854803,4_4,4
34.887811,4_3,1
34.888041,4_3,4
34.89098,4_3,4
34.891031,4_3,4
34.893481,4_3,1
34.893481,4_3,1
34.893702,4_3,4
34.894245,4_3,4
34.895737,4_3,4
34.895737,4_3,4
34.895786,4_3,4
34.895853,4_3,4
34.895977,5_4,3
34.896085,5_4,3
34.906786,4_3,4
34.907077,4_3,4
34.90729,4_3,4
34.907682,4_3,4
34.907955,4_3,4
34.908214,4_3,4
34.909293,4_3,4
34.909293,4_3,4
34.909293,4_3,4
34.909293,4_3,4
34.909456,4_3,4
34.90951,4_3,4
34.909538,4_3,4
34.909561,4_3,4
34.909917,4_3,4
34.90999,4_3,4
34.912109,4_3,4
34.912401,4_3,4
34.912645,4_3,4
34.912738,4_3,4
34.91282,4_3,4
34.913687,4_3,4
34.913687,4_3,4
34.913792,4_3,4
34.913844,4_3,4
34.914101,4_3,4
34.914166,4_3,1
34.914282,4_3,4
34.914345,4_3,1
34.914457,4_3,4
34.91452,4_3,1
34.914616,4_3,4
34.914673,4_3,1
34.914766,4_3,4
34.914814,4_3,1
34.914885,4_3,4
34.914959,4_3,1
34.915048,4_3,4
34.915114,4_3,1
34.91521,4_3,4
34.915243,4_3,4
34.915262,4_3,1
34.915322,4_3,4
34.915521,4_3,4
34.915587,4_3,1
34.916427,4_3,4
34.916427,4_3,4
34.916427,4_3,4
34.916427,4_3,4
34.916427,4_3,4
34.916427,4_3,4
34.916427,4_3,4
34.916427,4_3,4
34.916427,4_3,4
34.917692,4_3,4
34.917692,4_3,4
34.917692,4_3,4
34.917692,4_3,4
34.917692,4_3,4
34.917692,4_3,4
34.917692,4_3,4
34.917692,4_3,4
34.917692,4_3,4
34.91928,4_3,4
34.91928,4_3,4
34.9237,6_4,3
34.923956,6_4,3
34.923956,6_4,3
34.927429,5_4,3
34.930167,5_4,4
34.934246,5_4,3
34.934641,5_4,3
34.935094,5_4,3
34.948767,5_3,4
34.950748,5_3,4
34.950748,5_3,4
34.950748,5_3,4
34.950845,4_4,4
34.951968,5_3,4
34.951968,5_3,4
34.952031,4_4,4
34.952461,6_4,4
34.952569,5_4,4
34.954153,5_4,4
34.957622,4_4,4
34.957927,4_4,4
34.958385,4_4,4
34.958528,4_4,4
34.958684,4_4,4
34.95876,4_4,4
34.965582,6_4,3
34.965582,6_4,3
34.965582,6_4,3
34.965582,6_4,3
34.965582,4_3,1
34.965582,6_4,3
34.965582,6_4,3
34.966142,5_4,3
34.96633,5_4,3
34.966713,5_4,3
34.966968,4_3,4
34.966958,6_4,3
34.966958,6_4,3
34.966958,6_4,3
34.967379,5_4,3
34.971639,4_3,4
34.971639,4_3,1
34.971639,4_3,1
34.971639,4_3,1
34.971639,4_3,1
34.971639,4_3,1
34.971639,4_3,1
34.971639,4_3,1
34.971771,4_3,4
34.972101,4_3,4
34.97232,4_3,4
34.972556,4_3,4
34.972803,4_3,4
34.97299,4_3,4
34.973141,4_3,4
34.97346,4_3,4
34.973924,4_4,4
34.974389,4_3,4
34.974623,4_3,4
34.974737,4_3,4
34.974737,4_3,4
34.974737,4_3,4
34.974737,4_3,4
34.974737,4_3,4
34.974737,4_3,4
34.974821,4_3,4
34.974824,4_3,4
34.9749,4_3,4
34.974957,4_3,4
34.97501,4_3,4
34.97506,4_3,4
34.975106,4_3,4
34.975425,5_4,4
34.97579,4_3,4
34.975833,4_3,4
34.975839,5_4,4
34.976354,4_4,4
34.976746,6_4,4
34.976746,6_4,4
34.976746,4_3,1
34.976811,5_4,4
34.977216,4_3,4
34.977794,5_4,4
34.982253,4_3,4
34.982253,4_3,4
34.982253,4_3,4
34.982253,4_3,4
34.98241,4_3,4
34.982482,4_3,4
34.982486,4_3,4
34.982516,4_3,4
34.982562,4_3,1
34.982668,4_3,4
34.982719,4_3,1
34.982806,4_3,4
34.982861,4_3,1
34.984196,5_4,4
34.98423,4_3,4
34.98423,4_3,4
34.98423,4_3,4
34.98423,4_3,4
34.98423,4_3,4
34.98423,4_3,4
34.98423,4_3,4
34.985316,4_3,1
34.985675,4_3,4
34.985805,4_3,1
34.986024,4_3,4
34.987624,4_3,4
34.987624,4_3,4
34.987702,4_3,4
34.98781,4_3,4
34.99117,4_3,4
34.992666,5_4,3
34.992763,5_4,3
34.992869,5_4,3
34.996469,6_3,4
34.996537,4_4,4
34.997333,4_4,4
35.000276,5_4,4
35.000383,5_4,4
35.001274,5_4,4
35.001747,6_3,4
35.001747,6_4,4
35.001747,6_4,4
35.001844,4_4,4
35.001974,5_4,4
35.002023,5_4,4
35.00271,4_4,4
35.003684,5_4,4
35.00478,5_4,4
35.006311,6_4,4
35.007402,6_4,4
35.01267,5_3,4
35.01267,5_3,4
35.01267,5_3,4
35.01267,5_3,4
35.012748,4_4,4
35.01281,4_4,4
35.012854,4_4,4
35.01408,6_4,3
35.015429,4_3,4
35.015431,6_4,3
35.015684,4_3,4
35.015894,4_3,4
35.017997,6_4,3
35.017997,6_4,3
35.017997,4_3,4
35.017997,4_3,4
35.017997,4_3,4
35.018214,4_3,4
35.018278,4_3,4
35.018313,4_3,4
35.018711,5_3,4
35.018711,5_3,4
35.018771,4_4,4
35.019857,5_4,3
35.020081,4_3,4
35.020145,4_3,1
35.020246,4_3,4
35.020292,4_3,1
35.0204,4_3,4
35.020444,4_3,1
35.021623,6_3,4
35.021623,6_3,4
35.021623,6_3,4
35.02248,4_3,4
35.022738,4_3,4
35.022738,4_3,4
35.022738,4_3,4
35.02386,4_3,1
35.02386,4_3,4
35.02386,4_3,4
35.02408,4_4,4
35.024699,5_4,4
35.024699,5_4,4
35.024699,5_4,4
35.024759,5_4,4
35.024958,4_3,4
35.025456,4_3,1
35.026846,6_3,4
35.026846,6_3,4
35.026994,5_4,4
35.027669,6_3,4
35.027669,5_3,4
35.027669,4_3,4
35.027756,4_3,4
35.027815,4_3,4
35.030173,4_4,4
35.03068,6_4,4
35.03068,6_4,4
35.03068,6_4,4
35.03068,4_3,4
35.030814,4_3,4
35.030841,4_4,4
35.032866,4_3,4
35.035017,5_4,3
35.035175,5_4,3
35.038308,4_3,1
35.038308,4_3,4
35.038365,4_3,4
35.042481,5_4,4
35.044791,5_4,4
35.046024,6_3,4
35.048233,5_4,4
35.05284,6_3,4
35.05284,6_3,4
35.05284,6_3,4
35.05284,6_3,4
35.05284,6_3,4
35.05284,6_3,4
35.052978,4_4,4
35.062038,6_4,3
35.062038,6_4,3
35.062038,6_4,3
35.062038,6_4,3
35.062038,6_3,4
35.062038,6_3,4
35.062038,6_4,3
35.062038,6_3,4
35.062038,6_3,4
35.062038,6_3,4
35.062038,6_4,3
35.062038,6_4,3
35.062283,4_4,4
35.066829,5_4,3
35.067288,5_4,3
35.0674,5_4,3
35.067486,5_4,3
35.069047,5_3,4
35.069047,5_3,4
35.069047,5_3,4
35.070536,5_4,3
35.070688,5_4,3
35.070789,5_4,3
35.071844,5_4,4
35.071847,5_3,4
35.071847,5_3,4
35.071847,4_3,1
35.071847,4_3,4
35.071916,5_4,4
35.071932,4_3,4
35.072369,5_4,3
35.072479,5_4,3
35.072565,5_4,3
35.07602,5_3,4
35.07602,5_3,4
35.07602,5_3,4
35.076396,5_4,4
35.07688,5_4,4
35.077395,4_4,4
35.07779,4_4,4
35.078174,5_4,4
35.079164,5_4,4
35.080139,5_4,4
35.080793,5_3,4
35.080793,5_3,4
35.089476,6_4,3
35.089476,6_4,3
35.089476,6_4,3
35.089476,6_4,3
35.089882,5_4,3
35.09008,5_4,3
35.091501,5_4,3
35.091826,6_4,3
35.098866,6_4,4
35.098866,6_4,3
35.098866,6_4,3
35.098866,5_4,4
35.098866,5_4,4
35.098866,5_4,4
35.099597,5_4,4
35.102648,6_4,4
35.102648,6_3,4
35.102648,6_3,4
35.102648,6_3,4
35.102648,6_3,4
35.102648,6_3,4
35.102648,6_3,4
35.102648,6_4,4
35.102832,4_4,4
35.102908,4_4,4
35.109065,4_4,4
35.11032,5_4,3
35.110474,5_4,3
35.115437,6_4,3
35.117618,5_4,4
35.119333,6_4,4
35.124541,6_3,4
35.124541,6_3,4
35.124541,6_3,4
35.124541,6_3,4
35.124541,6_3,4
35.124541,6_3,4
35.124541,6_3,4
35.124541,6_3,4
35.124541,6_3,4
35.124541,6_3,4
35.124541,6_3,4
35.124731,4_4,4
35.134031,6_4,3
35.134031,6_4,3
35.134483,6_4,3
35.135277,5_4,3
35.135738,5_4,3
35.135836,5_4,3
35.135963,5_4,3
35.136063,5_4,3
35.140623,4_3,4
35.141003,4_3,4
35.141337,4_3,4
35.142576,5_4,4
35.142696,4_3,4
35.142696,4_3,4
35.142696,4_3,4
35.14286,4_3,4
35.142908,4_3,4
35.142933,4_3,4
35.142928,4_3,4
35.143008,4_3,1
35.143118,4_3,4
35.14317,4_3,1
35.143286,4_3,4
35.143336,4_3,1
35.147897,4_3,4
35.147897,4_3,4
35.147897,4_3,4
35.147897,4_3,4
35.147897,4_3,4
35.147897,4_3,4
35.147897,4_3,4
35.152071,6_4,3
35.152071,6_4,3
35.152071,6_4,3
35.152071,6_4,3
35.152766,5_4,3
35.152976,5_4,3
35.154521,6_4,3
35.154521,6_4,3
35.154521,6_4,3
35.154521,6_4,3
35.154521,5_3,4
35.155071,5_4,3
35.155266,5_4,3
35.159132,5_4,4
35.159203,5_4,4
35.161056,6_4,3
35.161056,6_4,3
35.17288,6_4,3
35.17288,6_4,3
35.17288,6_4,3
35.173052,6_3,4
35.173052,6_3,4
35.173052,6_3,4
35.173052,6_3,4
35.173145,4_4,4
35.173259,5_4,4
35.173578,5_4,3
35.174518,6_3,4
35.174518,6_3,4
35.174518,6_3,4
35.174518,6_3,4
35.174518,6_3,4
35.174518,6_3,4
35.174518,6_3,4
35.174518,6_3,4
35.174518,6_3,4
35.174518,6_3,4
35.174518,6_3,4
35.174674,4_4,4
35.178575,4_4,4
35.187031,6_4,3
35.187031,6_4,3
35.187031,6_4,3
35.187638,5_4,3
35.190876,6_4,3
35.191145,5_4,3
35.196261,4_3,1
35.19648,4_3,4
35.198885,4_3,4
35.198885,4_3,1
35.198885,4_3,1
35.198939,4_3,4
35.199453,4_3,4
35.199661,4_3,4
35.199784,5_4,3
35.200699,5_4,4
35.202466,4_3,4
35.202466,4_3,4
35.202516,4_3,4
35.202608,4_3,4
35.213386,5_4,4
35.214754,5_4,3
35.214879,5_4,3
35.214944,5_4,3
35.215033,5_4,3
35.217013,6_4,3
35.218432,5_4,3
35.222918,5_4,3
35.229286,5_3,4
35.229286,5_3,4
35.229405,5_3,4
35.232104,5_4,4
35.232196,5_4,4
35.23312,5_4,4
35.235346,6_4,3
35.239868,6_4,3
35.239868,6_4,3
35.239868,6_4,3
35.239868,6_4,3
35.239868,6_4,3
35.240327,5_4,3
35.245732,6_4,3
35.253235,4_4,4
35.253765,6_4,3
35.253765,6_4,3
35.253765,6_4,3
35.253765,6_4,3
35.253765,6_4,3
35.253765,6_4,3
35.253765,6_4,3
35.253765,6_4,3
35.253765,6_4,3
35.256679,5_4,3
35.256858,5_4,3
35.256955,5_4,3
35.25704,5_4,3
35.25713,5_4,3
35.259282,5_4,3
35.260106,4_4,4
35.260667,5_4,3
35.261198,6_4,3
35.261198,6_4,3
35.261198,6_4,3
35.261198,6_4,3
35.261198,6_4,3
35.261198,6_4,3
35.261198,6_4,3
35.261198,6_4,3
35.261198,6_4,3
35.261198,6_4,3
35.261284,5_4,3
35.261764,4_4,4
35.26216,5_4,3
35.262166,6_4,3
35.262166,6_4,3
35.262166,6_4,3
35.262166,6_4,3
35.262264,5_4,3
35.262352,5_4,3
35.26244,5_4,3
35.262537,5_4,3
35.262627,5_4,3
35.26272,5_4,3
35.262961,6_4,3
35.262961,6_4,3
35.262961,5_4,4
35.262961,5_4,4
35.262961,6_4,3
35.263518,5_4,3
